date_de_l_export;code_du_departement;type_de_scrutin;libelle_du_departement;code_de_la_commune;libelle_de_la_commune;insee;geo_point_2d;geo_shape;inscrits;abstentions;abs_ins;votants;vot_ins;blancs_et_nuls;blnuls_ins;blnuls_vot;exprimes;exp_ins;exp_vot;code_nuance_01;sexe_01;nom_01;prenom_01;liste_01;sieges_elu_01;sieges_secteur_01;sieges_cc_01;voix_01;voix_ins_01;voix_exp_01;code_nuance_02;sexe_02;nom_02;prenom_02;liste_02;sieges_elu_02;sieges_secteur_02;sieges_cc_02;voix_02;voix_ins_02;voix_exp_02;code_nuance_03;sexe_03;nom_03;prenom_03;liste_03;sieges_elu_03;sieges_secteur_03;sieges_cc_03;voix_03;voix_ins_03;voix_exp_03;code_nuance_04;sexe_04;nom_04;prenom_04;liste_04;sieges_elu_04;sieges_secteur_04;sieges_cc_04;voix_04;voix_ins_04;voix_exp_04;code_nuance_05;sexe_05;nom_05;prenom_05;liste_05;sieges_elu_05;sieges_secteur_05;sieges_cc_05;voix_05;voix_ins_05;voix_exp_05
2014-03-31T09:34:00+00:00;93;LI2;SEINE SAINT-DENIS;6;Bagnolet;93006;48.8690836308, 2.42274096688;"{""type"": ""Polygon"", ""coordinates"": [[[2.415319163395038, 48.855177988140646], [2.41326361312058, 48.873118745190126], [2.420084186159777, 48.87767561209084], [2.42971722983776, 48.878288464999876], [2.436644156761132, 48.87699025880547], [2.435361338815786, 48.87458300848474], [2.423244627825823, 48.85946135635611], [2.415319163395038, 48.855177988140646]]]}";18451;9213;49.93;9238;50.07;417;2.26;4.51;8821;47.81;95.49;LFG;M;JAMET;Laurent;Bagnolet Avenir 2014;6;0;1;2766;14.99;31.36;LSOC;M;DI MARTINO;Tony;Rassemblement citoyen pour Bagnolet;27;0;7;3137;17.0;35.56;LVEC;F;FERRI;Mireille;La liste citoyenne;4;0;1;1788;9.69;20.27;LUD;M;NIO;Jacques;Bagnolet pour tous;2;0;0;1130;6.12;12.81;;;;;;;;;;;
2014-03-31T09:34:00+00:00;93;LI2;SEINE SAINT-DENIS;7;Le Blanc-Mesnil;93007;48.9395475536, 2.46112148528;"{""type"": ""Polygon"", ""coordinates"": [[[2.474266131597347, 48.91843060128735], [2.464500195981806, 48.9206805399105], [2.462157707825119, 48.93079599781056], [2.456106649499913, 48.936470117115995], [2.452110603494979, 48.938736077822064], [2.442243793127894, 48.93721575644165], [2.433040152363952, 48.938773287172], [2.435032843427174, 48.945086605486814], [2.447520177189905, 48.9558011047882], [2.456013952139847, 48.9557769930625], [2.459489866144134, 48.955055319020516], [2.468902179421147, 48.95198593592314], [2.48140992372635, 48.93687003815209], [2.47939697783059, 48.91977496079716], [2.474266131597347, 48.91843060128735]]]}";25245;10960;43.41;14285;56.59;472;1.87;3.3;13813;54.72;96.7;LUG;M;MIGNOT;Didier;Blanc-Mesnil au coeur;11;0;0;6802;26.94;49.24;LUMP;M;MEIGNEN;Thierry;Le parti des Blanc-Mesnilois;34;0;0;7011;27.77;50.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-31T09:34:00+00:00;92;LI2;HAUTS DE SEINE;14;Bourg-la-Reine;92014;48.7799073627, 2.31643010763;"{""type"": ""Polygon"", ""coordinates"": [[[2.319915158497785, 48.77071577908067], [2.31243945221886, 48.772166026509616], [2.307705347974042, 48.7792530976763], [2.309699191735462, 48.784903965220956], [2.314815220863838, 48.78916963442864], [2.318696288355829, 48.787995610874795], [2.325812023214561, 48.781910980203335], [2.319915158497785, 48.77071577908067]]]}";13747;5440;39.57;8307;60.43;250;1.82;3.01;8057;58.61;96.99;LUG;M;PESCHANSKI;Denis;UNE NOUVELLE DYNAMIQUE;7;0;1;3358;24.43;41.68;LUD;M;CHEVREAU;Jean-Noël;VIVONS BOURG-LA-REINE;25;0;5;4008;29.16;49.75;LDVD;M;THELLIEZ;Henri;BIEN VIVRE A BOURG-LA-REINE;1;0;0;691;5.03;8.58;;;;;;;;;;;;;;;;;;;;;;
2014-03-31T09:34:00+00:00;78;LI2;YVELINES;15;Andrésy;78015;48.9815454378, 2.05025746939;"{""type"": ""Polygon"", ""coordinates"": [[[2.048854206529895, 48.9592096969921], [2.045555519141095, 48.96184541568554], [2.035319459458853, 48.96146673519714], [2.044321963681011, 48.982887995372835], [2.027031831577177, 48.989070961524675], [2.024722630781637, 48.99561693435229], [2.039921366247412, 48.99626108023236], [2.051868131444729, 48.9916438867545], [2.071883805063116, 48.993392091232664], [2.074387266455771, 48.98480538809012], [2.054221235138582, 48.96897354754791], [2.048854206529895, 48.9592096969921]]]}";9330;3583;38.4;5747;61.6;135;1.45;2.35;5612;60.15;97.65;LDVG;M;WASTL;Lionel;ANDRESY ENERGIES RENOUVELEES;4;0;0;1590;17.04;28.33;LUD;F;MUNERET;Virginie;ANDRESY DYNAMIQUE;6;0;1;1934;20.73;34.46;LDVD;M;RIBAULT;Hugues;ANDRESY AU COEUR DE L'ACTION;23;0;4;2088;22.38;37.21;;;;;;;;;;;;;;;;;;;;;;
2014-03-31T09:34:00+00:00;94;LI2;VAL DE MARNE;16;Cachan;94016;48.7916121646, 2.33153313164;"{""type"": ""Polygon"", ""coordinates"": [[[2.325812023214561, 48.781910980203335], [2.318696288355829, 48.787995610874795], [2.323937975769717, 48.801552407915224], [2.34385114554979, 48.79766105911435], [2.344196510771043, 48.790764542090926], [2.340232350383443, 48.78454580466084], [2.325812023214561, 48.781910980203335]]]}";16447;7997;48.62;8450;51.38;266;1.62;3.15;8184;49.76;96.85;LUG;M;LE BOUILLONNEC;Jean-Yves;ENSEMBLE POUR CACHAN, UNE ÉQUIPE AVEC JEAN-YVES LE BOUILLONNEC;26;0;7;3722;22.63;45.48;LDVG;M;DIDIER;Thierry;CACHAN ENSEMBLE FAISONS VIVRE NOTRE VILLE;4;0;1;2089;12.7;25.53;LUD;M;SPEHNER;Alfred;DYNAMISONS CACHAN;5;0;1;2373;14.43;29.0;;;;;;;;;;;;;;;;;;;;;;
2014-03-31T09:34:00+00:00;77;LI2;SEINE ET MARNE;22;Barbizon;77022;48.4485166396, 2.60051335634;"{""type"": ""Polygon"", ""coordinates"": [[[2.598354210599721, 48.43418593698368], [2.581961892447018, 48.44183030296494], [2.583383827659744, 48.45178533773797], [2.579324129477322, 48.45378620772262], [2.57678335585863, 48.46027253936118], [2.604234388794926, 48.45403380676238], [2.614110571829781, 48.453589516572336], [2.626735644200059, 48.458343961917635], [2.630376327460066, 48.456097277799], [2.619309458699578, 48.445365623521226], [2.597829009307377, 48.437449881118134], [2.598354210599721, 48.43418593698368]]]}";1248;381;30.53;867;69.47;13;1.04;1.5;854;68.43;98.5;LDVD;M;BEDOUELLE;Pierre;ENSEMBLE PLUS LOIN POUR BARBIZON;3;0;1;403;32.29;47.19;LDVD;M;DOUCE;Philippe;UNE EQUIPE POUR BARBIZON;12;0;2;409;32.77;47.89;LDVD;M;ELLEBOODE;Gérard;AGIR POUR LES BARBIZONNAIS;0;0;0;42;3.37;4.92;;;;;;;;;;;;;;;;;;;;;;
2014-03-31T09:34:00+00:00;92;LI2;HAUTS DE SEINE;24;Clichy;92024;48.9035359139, 2.30575230452;"{""type"": ""Polygon"", ""coordinates"": [[[2.303777114032848, 48.89415199628832], [2.287389258968528, 48.90364238146715], [2.313758259741169, 48.914021542184294], [2.319884458526643, 48.90045886733915], [2.303777114032848, 48.89415199628832]]]}";31329;13210;42.17;18119;57.83;658;2.1;3.63;17461;55.73;96.37;LUG;M;CATOIRE;Gilles;CLICHY SOLIDE ET SOLIDAIRE AVEC GILLES CATOIRE LISTE DE LA GAUCHE RASSEMBLÉE;30;0;0;5706;18.21;32.68;LVEC;F;FOURNIER;Marie-Claude;CLICHY CITOYENNE;2;0;0;1998;6.38;11.44;LUDI;M;SCHULLER;Didier;AGIR ENSEMBLE POUR CLICHY;6;0;0;4323;13.8;24.76;LUMP;M;MUZEAU;Rémi;OXYGÈNE;7;0;0;5434;17.34;31.12;;;;;;;;;;;
2014-03-31T09:34:00+00:00;92;LI2;HAUTS DE SEINE;25;Colombes;92025;48.9225179147, 2.24675160629;"{""type"": ""Polygon"", ""coordinates"": [[[2.229103483277047, 48.90603335333204], [2.220399433954488, 48.920617920983446], [2.231143021098716, 48.92773792033638], [2.247595355674966, 48.93673642401929], [2.27303937214216, 48.93383585141546], [2.273314401521025, 48.92684997013363], [2.257413276511337, 48.91355962855995], [2.229103483277047, 48.90603335333204]]]}";47229;18858;39.93;28371;60.07;1099;2.33;3.87;27272;57.74;96.13;LUG;M;SARRE;Philippe;COLOMBES AVANCE;12;0;0;12990;27.5;47.63;LUD;F;GOUETA;Nicole;ENSEMBLE POUR LA VICTOIRE;41;0;0;14282;30.24;52.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-31T09:34:00+00:00;77;LI2;SEINE ET MARNE;55;Brou-sur-Chantereine;77055;48.8901616457, 2.63989859744;"{""type"": ""Polygon"", ""coordinates"": [[[2.62567883164549, 48.8741333244374], [2.622212259928947, 48.87651461475821], [2.622614481021128, 48.88309884945921], [2.629712956489977, 48.891592473825085], [2.626680032874987, 48.89422700294278], [2.644768231502039, 48.90376959103144], [2.657497269507203, 48.89729578116062], [2.651837796677051, 48.88287263812261], [2.632740371367683, 48.88196123609086], [2.62567883164549, 48.8741333244374]]]}";2909;1285;44.17;1624;55.83;87;2.99;5.36;1537;52.84;94.64;LUG;M;BEREZOUTSKY;Christian;UNE VILLE POUR TOUS UNE VILLE POUR VOUS;6;0;1;756;25.99;49.19;LUD;M;DE CARVALHO;Antonio;ENSEMBLE POUR BROU CONTINUONS !;21;0;6;781;26.85;50.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-31T09:34:00+00:00;77;LI2;SEINE ET MARNE;58;Bussy-Saint-Georges;77058;48.8308269318, 2.7225014237;"{""type"": ""Polygon"", ""coordinates"": [[[2.728018127894976, 48.797299932155525], [2.721191899010972, 48.806044072914695], [2.729065634121513, 48.813167152534476], [2.723277977901615, 48.818334206472095], [2.725189598118401, 48.82772786441777], [2.689960982804867, 48.83063656108125], [2.66838619860046, 48.840912169145916], [2.669997881514738, 48.84674434321892], [2.685685199654667, 48.839412005621206], [2.698640523245206, 48.849104228683366], [2.728524967628345, 48.84901388838964], [2.730758147843237, 48.851968740522096], [2.732076461128301, 48.852664183465386], [2.742705894974972, 48.847210585995796], [2.747899378021768, 48.84120508760805], [2.75095598459277, 48.81457278741788], [2.7478025139789, 48.80490701728267], [2.733614557812022, 48.802375997994616], [2.728018127894976, 48.797299932155525]]]}";14193;5837;41.13;8356;58.87;282;1.99;3.37;8074;56.89;96.63;LUD;F;BRUNEL;Chantal;ECRIRE UN NOUVEAU BUSSY;25;0;4;3276;23.08;40.57;LDVD;F;PISI;Nabia;TOUS UNIS POUR BUSSY;4;0;0;1992;14.04;24.67;LDVD;M;RONDEAU;Hugues;POUR BUSSY CONTINUONS ENSEMBLE;6;0;1;2806;19.77;34.75;;;;;;;;;;;;;;;;;;;;;;
